CellLine,Gene,RQ1,RQ2,RQ3,RQmin,RQmax,minus_error,plus_error
PWS_ESC,MAP2,0.754332418,0.794139485,0.442839147,0.505675981,0.871291289,0.158094369,0.207520939
PWS_ESC,DLG4,1.109767489,1.014826275,0.837982359,0.876912325,0.987525374,0.110613049,0
AS1_ESC,NDN,1.450853092,1.398924509,0.920992797,0.971934803,1.6254759,0.284988662,0.368552434
AS1_ESC,MAGEL2,0.761556511,0.776418823,0.653980414,0.547803977,0.974531483,0.182847939,0.243879567
AS1_ESC,MKRN3,0.863012085,1.125214462,0.776818968,0.410342097,2.070217549,0.511339741,1.148535711
AS1_ESC,SNRPN ex1/2,1.046045141,1.123305838,0.763817093,0.776898826,1.230458366,0.200823865,0.252735676
AS1_ESC,SNRPN U4/ex2,1.212426069,1.187364686,1.046139162,0.892191747,1.478809289,0.256451558,0.330165983
AS1_ESC,116HGG1,1.075718471,1.221210774,0.866540583,0.82010804,1.35585677,0.234381902,0.301366828
AS1_ESC,116HGG2,1.109795609,1.364221905,0.755952592,0.871148157,1.33064582,0.205508545,0.253989118
AS1_ESC,116HGG3,1.103368985,1.345689283,0.935989337,0.87827945,1.44962053,0.250069752,0.321271328
AS1_ESC,IPW,1.026880997,1.07055432,1.046398226,0.79876687,1.374853847,0.249177644,0.326909333
AS1_ESC,SNORD115,0.54946769,0.750592904,0.520758561,0.443384642,0.830826751,0.163555076,0.223887033
AS1_ESC,UBE3A,0.578755405,0.618976553,0.397258502,0.416062727,0.679383286,0.115600759,0.1477198
AS1_ESC,UBE3A-ATS,0.516770437,0.642762995,0.537417092,0.421929585,0.758325871,0.14372059,0.192675696
AS1_ESC,GABRB3,0.60661422,0.749646434,0.399506502,0.465786072,0.735368181,0.119469647,0.150112462
AS1_ESC,GABRA5,0.75826498,0.721618218,0.446147708,0.485281669,0.849356682,0.156728633,0.20734638
AS1_ESC,GABRG3,1.219139412,1.179727599,0.708427986,0.721044062,1.487855167,0.314720937,0.452090168
AS1_ESC,PWAR5,1.212622176,1.308298835,0.81855359,0.847167722,1.46266335,0.265990478,0.34950515
AS1_ESC,HERC2,0.650667119,0.6516616,0.392507798,0.446367352,0.715024123,0.118578154,0.150078618
AS1_ESC,CYFIP1,0.586032174,0.632818396,0.447099791,0.451013231,0.6837421,0.104303556,0.128425313
AS1_ESC,TUBGCP5,0.839252596,0.778039335,0.502267675,0.544960685,0.915974929,0.161559184,0.20945506
AS1_ESC,CHRNA7,0.987065458,1.095207071,0.759340923,0.748127106,1.199256555,0.199077379,0.25205207
AS1_ESC,NANOG,1.623890602,1.453745888,1.321010968,1.108518409,1.939335252,0.35769741,0.473119433
AS1_ESC,SOX2,0.54059772,0.728710323,0.550179516,0.442261726,0.831718411,0.164234127,0.225222558
AS1_ESC,OCT3/4,1.044618707,1.453088371,0.761514869,0.850009765,1.38854976,0.236397551,0.302142445
AS1_ESC,FGF4,1.085961616,1.386352802,0.516139797,0.59264152,1.67439774,0.403509885,0.678246335
AS1_ESC,KLF4,0.937493981,0.884662863,0.702361823,0.636350216,1.11280346,0.205156006,0.271297238
AS1_ESC,LIN28A,1.101211141,1.18096492,0.846891729,0.810771009,1.341804437,0.232251587,0.29878184
AS1_ESC,ZFP42,1.164012862,1.188499805,0.782234461,0.801377753,1.362464625,0.243537956,0.317548916
AS1_ESC,PAX6,1.369652377,0.968095612,0.435866766,0.421952692,2.025750741,0.50258556,1.10121249
AS1_ESC,MAP2,1.008191013,1.029767516,0.479490011,0.604562208,1.164763355,0.234587305,0.325613842
AS1_ESC,DLG4,1.303622458,1.485034153,0.910884968,1.000632294,1.519773266,0.232548232,0.28659274
AS2_ESC,NDN,1.04264313,1.341201602,1.075940609,0.806700991,1.648705962,0.346560789,0.495444182
AS2_ESC,MAGEL2,0.691344326,0.998174763,0.719953183,0.571190497,1.129328746,0.231966927,0.326171322
AS2_ESC,MKRN3,1.082367931,1.947951827,1.264265968,0.72271294,2.835529778,0.708815636,1.404001203
AS2_ESC,SNRPN ex1/2,0.731724994,1.250272104,0.865310478,0.681153062,1.322456955,0.267949464,0.373354429
AS2_ESC,SNRPN U4/ex2,0.791830628,1.273643731,0.941705446,0.715287721,1.40473859,0.287105548,0.402345322
AS2_ESC,116HGG1,0.716930689,1.123306962,0.931851232,0.653410046,1.306730374,0.270619582,0.382700746
AS2_ESC,116HGG2,0.770668858,1.313430018,0.943013067,0.742450033,1.371346565,0.266587282,0.36230925
AS2_ESC,116HGG3,1.167529498,1.223384017,1.198070385,0.779263696,1.836606287,0.41706427,0.64027832
AS2_ESC,IPW,0.704622606,1.182238411,0.772680735,0.650827322,1.207550605,0.235686596,0.321036688
AS2_ESC,SNORD115,0.325203244,1.33378262,0.838043221,0.463204533,1.495656599,0.369138495,0.66331357
